Step,radius1,radius0.1,radius2,radius10,radius0.5
604,193,0.84765625,272,27904,29.5
605,188,0.96484375,298,24576,30.5
606,189,0.94921875,286,22912,28.625
607,200,1.203125,308,27392,33
608,201,1.015625,282,25728,30.25
609,204,1,286,26112,28.25
610,194,0.9921875,288,25728,30
612,196,1.234375,296,26496,29.375
613,211,1,288,28032,30.25
614,201,0.95703125,340,26624,31.375
615,199,1.3125,294,26752,30.25
616,215,1.0625,316,28672,31.875
617,212,1.015625,308,25728,30.125
619,219,0.90625,326,25600,32.25
621,232,1.0234375,326,29568,30.125
622,209,1.1640625,300,25728,30.5
623,209,1.25,338,24448,32.25
624,214,1.0390625,336,26752,29.875
625,196,1.046875,318,25728,32.75
626,218,0.91015625,308,27648,30.125
627,209,1.28125,326,24192,34.5
628,216,1.0625,304,24704,32.75
629,194,1.328125,320,27008,33.25
630,240,1.34375,340,25088,30.875
631,211,1.2109375,330,25984,34.25
632,202,1.1484375,354,24960,31.875
633,195,1.15625,368,24192,34
634,202,1.15625,322,24576,32
635,252,1.171875,336,27392,33.75
636,212,1.09375,326,25984,32
638,207,0.93359375,332,25472,34
641,214,1.15625,326,24704,36.5
642,241,1.21875,346,24832,34.5
643,208,1.1875,348,27392,32.75
644,200,1.140625,362,26368,32.75
645,211,1.0625,354,25344,34.25
646,224,1.234375,402,25216,33.25
647,234,1.1328125,368,27264,33.5
648,225,1.0859375,396,25216,35
649,226,1.2890625,402,26880,33.5
650,200,1.1640625,382,25472,34.25
651,204,1.1875,388,28416,38.25
652,222,0.98046875,408,26368,35
653,210,1.453125,368,25984,34.75
654,223,1.2734375,390,27264,37
655,212,1.265625,404,27392,36.25
657,241,1.40625,406,27008,31.625
660,217,1.3828125,406,26240,35.25
661,220,1.0703125,400,24832,35.5
662,217,1.09375,434,26880,33.75
663,206,1.3828125,430,25728,36.25
665,223,1.4609375,458,26496,37
667,217,1.140625,400,23296,34.25
668,230,1.2890625,418,28672,37
669,218,1.234375,474,25728,37.25
670,227,1.3125,418,25472,37
671,207,1.28125,426,25216,37.25
672,211,1.046875,432,25472,33.5
673,217,1.40625,416,26752,34.5
674,205,1.4453125,426,26880,34.25
675,213,1.234375,448,26368,36.75
676,208,1.390625,440,30592,40
677,221,1.046875,438,25984,36.5
678,238,1.125,450,29440,36.25
679,219,1.1015625,470,26752,42.5
680,219,1.578125,442,27648,35.5
681,238,1.328125,452,29824,34.25
682,222,1.0703125,418,29824,39
683,223,1.078125,442,30336,35.25
684,233,1.2734375,436,29056,39.75
685,229,1.15625,434,30464,39.25
686,228,1.34375,398,29824,38.75
688,221,1.4375,422,31104,39.25
689,234,1.1875,432,31104,36.5
690,227,1.2578125,418,29696,39.25
691,238,1.3671875,444,32640,36.5
692,232,1.1875,442,34048,38
693,234,1.4609375,508,30080,41.25
695,239,1.359375,434,32768,38.75
696,230,1.2578125,440,31360,43
697,254,1.2421875,430,38144,43
698,216,1.328125,432,32640,39
700,238,1.2890625,436,36608,36.75
701,241,1.4609375,510,29312,38.75
702,225,1.28125,470,35072,36.5
703,249,1.578125,496,31104,38.5
704,218,1.296875,488,33280,37.25
705,223,1.6640625,460,31872,38
706,227,1.46875,458,34304,41.25
707,241,1.2265625,532,31744,38
708,237,1.7109375,502,33536,45.25
709,242,1.3125,512,30592,37.75
710,252,1.5,528,32128,37.75
713,247,1.09375,520,34304,41
714,254,1.2890625,472,34304,41.75
715,251,1.3203125,508,32128,36.5
716,246,1.3125,472,32512,39
718,256,1.2421875,544,34304,37.75
719,253,1.2421875,494,31616,41.5
720,266,1.3515625,446,33280,39
721,243,1.3515625,456,37120,40.25
722,260,1.375,488,35584,39.5
